id,source,target
287,My request is not done yet. What the fuck?!,"I see that my request has not been processed since we last spoke, please advise."
293,No way I'm wasting my time on you after work hours. ,"No thanks, I have another commitment."
385,Stop using the bathroom like a personal spa.,Observing efficient usage of shared facilities can ensure their availability for all.
440,This isn't my job so don't ask me to do it.,Not sure this was meant for me.
169,I need to explain to you in private why your idea sucks.,"Could you run that question past me again, please?"
54,"Enough with the excuses, just get the job done.","While I understand there may be challenges, it's crucial that we find ways to meet our commitments."
302,Not going to waste time on this. ,"Damn, not able to fit this one in!"
46,Don't nag us about this.,We will make sure to keep you posted.
95,I can't believe you left me to do all this work alone while your'e on vacation.,Enjoy your time with friends and family!
454,"This isn't a show and tell, keep your personal items at home.",A clean and uncluttered space promotes better focus and efficiency.
441,"This isn't a 24-hour diner, quit microwaving food at midnight.",Adhering to common meal times in shared spaces can minimize disruptions.
108,I disagree with everything you just said.,I am not aligned with what you have shared here.
415,The constant gloating isn't appreciated.,"While celebrating success is important, we should also strive to be humble and acknowledge team efforts."
233,I'm just waiting for you to head out so I can leave without having to join you. ,"Too bad but I'm head-down right now on a project, so don't wait up on me."
533,why won't you answer my fucking question?,"You shared so much today; it is going to take time for it to all sink in. I was jotting down some key points along the way. I also wrote down a few questions, and they weren't answered when you finished. Do you mind if I ask them now?"
530,You are wasting my time.,Being respectful of time let's regroup when more details become available.
499,"When I'll want your input, I'll ask for it.","Thank you for sharing your thoughts, I will be sure to reach out if further input is required."
212,"If you drum your fingers one more time, I'll super glue them.",Limiting fidgeting behaviors can help maintain a distraction-free workspace.
628,You're so wrong it hurts.,My feelings on this topic are very different. 
434,This is not my job.,"Would love to help, but I don't have the capacity."
7,Are you going to get back to me?,Please advise when your'e free.
114,why do I even need to be there?,I do not believe I can add anything helpful to this discussion. Please do me the honor of removing me from this chat and feel free to bring me back into the discussion at a later date if required.
452,"This isn't a political debate club, keep your views to yourself.",Focusing on work-related topics can help prevent potentially divisive discussions.
301,Not everyone is as free as you seem to be.,Respecting each other's time and workload helps ensure a balanced and productive workplace.
211,If you don't rsvp by wednesday don't come crying to me when there is no food for you.,We need a count of how many people to provide food for. Please rsvp by wednesday so we can include you.
344,Stop being such a control freak.,Delegating and trusting team members with tasks is important for effective teamwork.
608,You're always causing drama.,Promoting a calm and focused workplace is beneficial for everyone.
69,Have you completed the task?,I want to touch base on our task
278,Let's meet to discuss project status,I've set a meeting to have a discussion around status on the project
461,This meeting was a complete waste of time.,"In future meetings, we might benefit from a clearer agenda to ensure productive use of time."
589,Your lack of organization is affecting everyone.,Improving organization skills can contribute to the overall efficiency of our team.
509,Why do you think you have a say in this?,There seems to be a disconnect here as this information has already been provided.
290,No fucking way we're adding that to the project.,That's not in the scope of the project.
151,I hate your idea.,Let's circle back on this.
127,I don't have time for your bullshit right now.,Would you mind if we circle back on this? I want to make sure to give this the attention it deserves.
489,What am I supposed to do with this information?,Thanks for the heads up.
550,You need to stop sucking up all the limelight.,Everyone's contribution is valuable. Let's ensure everyone's work is recognized.
188,I would get fired if I did that. ,I really shouldn't.
400,That presentation was a disaster.,There are several areas for improvement in the presentation. Let's go over them together.
331,Sorry to bug you!,Thank you for your time.
605,Your pungent essential oils are killing my nostrils.,Limiting use of fragrant personal items can foster a more agreeable environment for everyone.
560,Your aggressive keyboard pounding isn't necessary.,Maintaining a low noise level while typing can create a more tranquil workspace.
143,I forgot to check with you that your'e okay with this.,I got the impression that you have been looped in on this plan.
142,I feel my brain cells dying when I'm talking to you.,"Sorry, I need to focus."
330,Sorry this is late.,Thanks for your patience.
19,Can you please do what I asked you to do?,I would appreciate your prompt help on this matter.
174,I never thought about that.,Let me come back to you on that.
515,Why would I go to the office if I can do my job from home?,Can you help me understand why I am required to be in the office when I can effectively execute my job responsibilities remotely?
514,Why was'nt I informed sooner?,Thanks for keeping me in the loop.
25,Couldn't you say that before?,Thank you for the clarification.
428,They don't pay me enough to help you too.,"Unfortunately, I have too much to do today. I can help you another time."
506,Why didn't you ask me for this sooner?,Given the tight turnaround it would have been beneficial to have been looped in on this sooner.
526,You are not pulling your weight on this project.,Our contributions on this project to date do not appear to be equal. Will your involvment be increasing as the timeline continues?
337,Stop adding to the scope of work with false expectations of time.,"As the scope of work is pre-determined, it may be time to sit down and re-visit this to get a better expectation of the project timeline. And, if we need to add to the scope, we can certanily see how much time (expected) will be added to the project."
222,"If you wanted it to be included in this sprint, you should said something earlier. ","Unfortunatelly, for the current sprint I'm already preoccupied. "
360,"Stop hogging the meeting, let others speak too.",Encouraging a balance in participation during meetings can result in a wider range of perspectives.
275,"Leave me alone, I'm trying to get my work done.",My focus right now is on completing this work and I am limited on time today.
156,I have more inportant things to do. ,I have a lot on my plate right now. 
129,I don't know why you thought I could help with that.,Sorry I couldn't be of more help.
634,You're wrong.,We view this differently. 
119,I don't care.,Let me know how that works out.
321,"Read the manual I wrote, it exists exactly so you won't have to bother me with the same question every time.",You might find the information here to be very useful. Please review it at your convenience. Let me know if you have any questions regarding it.
175,I really don't want to mentor you. ,I really don't have any openings in my schedule.
61,FYI.,In case it is helpful to know this.
366,Stop micromanaging everything.,Empowering team members to manage their tasks promotes a sense of ownership and can improve productivity.
266,I've told you this multiple times.,There seems to be a disconnect here as this information has already been provided.
283,Mess around and you'll find out.,You are encourged to proof of concept this idea to understand its viability.
17,Can you do your job so I don't have to?,Please let me know when your deliverables have been completed.
339,Stop assigning me so many tasks if you want any of them done.,"As my workload is quite heavy, can you help me understand what I should reprioritise in order to accommodate this new task?"
257,It's like you're constantly trying to one-up everyone.,"While your ambition is admired, let's ensure we're promoting a cooperative, rather than competitive, team environment."
553,"You should be the one doing this, not me.",My understanding is that this is your responsibility. If that is not the case please let me know.
586,Your incessant pen clicking is torture.,Avoiding repetitive noises helps maintain focus and productivity.
228,I'm busy.,I don't have the bandwidth.
363,Stop ignoring my messages!,"As this is a busy time, if it is easier for you to jump on a call I am happy to set up some time in order to get this resolved."
615,You're always taking credit for other people's work.,Acknowledging each other's contributions promotes a positive and respectful work culture.
470,We all know another meeting will just waste everyone's time. ,Being respectful of everyone's time let's discuss this through email until we have a more defined agenda.
96,I can't continue until you do this.,Just checking in on the below discussion.
183,I totally spaced out.,"So sorry, I missed that. Could you say it again, please?"
304,"Not the outcome I wanted, but I guess there is nothing I can do. ",Thanks for letting me know.
420,"The office isn't a party zone, lower the volume.",Maintaining a quiet and focused work environment is important for everyone's productivity.
531,"You can send your email outside of my working hours, but I'm not going to respond or read them.",Please note that my inbox is monitored within regular working hours.
373,Stop raiding the office snacks before everyone else gets a chance.,Sharing communal resources fairly ensures everyone gets an opportunity to partake.
355,Stop emailing me so much.,"You have not heard from me because further information is not available at this time, once I have an update i'll be sure to loop you in."
5,Any updates on this?,Just checking in.
45,Don't monopolize the parking lot with your oversized vehicle.,Mindful parking practices ensure that space is utilized fairly and efficiently.
334,"Stop acting like the office DJ, your music taste is atrocious.",Using personal audio devices for music can respect diverse tastes and maintain a quiet environment.
486,"We're not running a charity here, time to get to work.",It's important for everyone to contribute effectively to meet the team's performance goals.
433,This is not my job and sounds like it would suck all of my time and energy.,"The project sounds exciting, and I can't wait to see the direction you take it. Unfortunately, I don't think I have the capacity to take on this much responsibility outside of my usual tasks. Please let me know if there are any smaller, less time-consuming items I can help with to support the team."
16,Can you do your job and answer my emails?,With deadlines approaching it's imperative that I recive this information in order to proceed.
48,"Don't try to do my job, stay in your lane.",Thank you for your input. I'll keep that in mind as I move forward with this project!
593,Your mistake was stupid.,Can you think of a way we can avoid this in the future?
564,Your 'casual Fridays' are getting a bit too casual.,"Adhering to the dress code, even on casual days, maintains a professional image."
3,Answer my emails.,"Please let me know if there's a better way to get in contact with you, as I am hoping to have this resolved as soon as possible."
544,"You messed it up last time, it better not happen again.",I am bringing this to your attention so we don't have the same outcome as we had last time.
359,Stop following up every 20 minutes. I'll get back to you when I can.,I would appreciate your patience as I need time to address this. I will provide an update once one is available.
319,Quit spreading rumors. It's childish.,Promoting truthful and respectful conversations helps create a trustworthy work environment.
548,You need to keep your personal life out of the office.,"While it's important to support each other, focusing on work-related matters during office hours can enhance productivity."
412,That's not part of my job.,"Th correct person to assist with this isn't me, but I am happy to connect you with my teammate who will be able to help."
496,What you are saying does not make sense.,We seem to have different understanding on this. Can you elaborate further on your thought process here?
343,Stop being so sensitive about everything.,"While it's natural to feel strongly about our work, let's also strive to be open to feedback and varying perspectives."
200,If further changes are required do them yourself.,"If further edits are required, I have attached a version of the document that you can apply your edits directly into."
26,Da fak this task schedule is stuck for so long get your shit done and your asses wiped already!,I wanted to know if there is any reason for the delaysin the project. We shoukd be moving forward 
487,"We're not your maid service, clean up after yourself.",Keeping our shared spaces clean and tidy is a responsibility we all share.
265,It's too hard.,What a challenge.
50,Don't undestand you.,"Sorry, I can't hear you very well, could you speak a little louder/ speak up, please?"
206,"If we do that, we're going bankrupt.","If we do that, it will cost considerably more than the current scope."
37,Do your job.,It is my understanding that you are the appropriate person to contact in regards to this but if there is someone better equipped for this please let me know.
159,I have no idea how to do this task.,I think I can manage this new task but would love another set of eyes on it just in case.
214,"If you have me schduled in meeting all day, when do you expect me to get this work done?","My calander is currently heavily scheduled with meetings. To ensure appropriate time is available to get this done, I can sit out of lower priority meeting or extend the deadlines for my tasks."
588,Your job is what I say it is.,"This is not exactly what you wanted, but this is what I need you to do."
178,I told you so and now this is your problem.,"As I did previously note that this was a likely outcome, how do you plan to resolve this?"
537,You don't have a choice.,Thanks in advance.
397,"That is so out of line, why would you think I'd agree to this?",Anything else I can help you with? I'm not comfortable doing that specific task. 
232,"I'm hungover as shit, working from home, don't bother me.",Feel free to ping me.
539,You don't let me talk.,Can I just say something here?
370,Stop playing the hero and delegate.,Sharing responsibilities enhances team collaboration and personal growth.
592,Your micromanaging isn't making this go any faster.,"Though I appreciate your attention to this, I feel as though I could be more productive if I had an opportunity to work independently here."
545,You messed up. Don't do it again.,"Going forward, I would prefer that you would refrain from doing so."
67,Hahaha no way I'm saying yes.,Let me think about it and i'll get back to you.
364,Stop ignoring us.,"We know you are busy, and would appreciate your reply when you have time."
170,I need to recover from the previous annoying task you gave me before I take on another one. ,Circle back to me in a few weeks.
559,Your aftershave smells like a chemical plant.,Let's consider a fragrance-free environment to accommodate all sensitivities.
164,I know nothing about this.,"I don't have experience with this particular subject matter, but i'd be interested in learning more."
312,Please harry up and get this done.,This is important that we have this completed in order to meet our targeted deadlines which are quickly approaching.
231,I'm going to need a whole lot of more information if you want this me to do this.,Please let me know when further details become available as I require more information to successfully complete this task.
547,You need to get over yourself.,Humility and respect for others are crucial for team synergy.
407,That's a stupid question.,"There's no such thing as a stupid question, but let's ensure our queries are relevant and contribute to the discussion."
154,I have better things to do.,"I'd love to, but I can't."
372,"Stop putting your feet on the table, it's not your living room.","Maintaining professional etiquette, especially in shared spaces, demonstrates respect for colleagues."
383,"Stop turning the blinds, you're giving me a strobe light show.",Let's agree on a window setting that provides suitable light for everyone.
203,"If i'm doing your job for you, then what are you doing all day?",Are there a higher priority tasks that is consuming all of your capacity at the moment?
378,Stop treating the copier like your personal art studio.,Reserving shared equipment for work-related tasks ensures its availability and longevity.
497,What you are saying is nonesense.,Can you help me understand how you arrived at that conclusion?
103,"I could do it, but I won't do it for you.","So sorry, but it's out of my hands."
447,"This isn't a free-for-all, respect the rules.",Adhering to established guidelines helps ensure fair and orderly operations.
74,Holy shit you're stupid.,There's not a single professional in my industry who would suggest that.
484,We're not here to make friends.,"While it's not necessary to form personal relationships, maintaining a professional and cordial environment is key."
591,"Your manager gave this task to you, stop trying to dump it on me, It's not going to work. ","Would love to be able to assist you with this task. However, our supervisor originally assigned this task to you, and the task isn't within the scope of my responsibilities. I'm going to politely decline, and I recommend speaking to management to find a solution."
123,I don't give a fuck.,"Well, the weather sure is great today, don't you think?"
443,This isn't a college dorm; don't leave your dirty dishes around.,"Maintaining cleanliness, especially concerning shared kitchen utensils, promotes a respectful and tidy environment."
468,Try problem solving on your own before you come to me.,You are encourged to brainstorm possible solutions prior to looping me in for additional support.
575,Your constant desk rearranging sounds like a construction site.,Minimizing movement of heavy furniture helps maintain a quieter workspace.
241,I'm not spending any more money on coworkers weddings. ,"Honored by the invite, but unfortunately cannot attend."
488,We're not your personal tech support.,Utilizing the appropriate channels for technical issues ensures efficient resolution.
402,That sounds like a you problem.,That falls within your scope of responsibilities.
455,This isn't a therapy session.,"While empathy is valued, focusing on task-related discussions during work hours might be more beneficial."
603,Your presentations put people to sleep.,Let's discuss ways to make your presentations more engaging and dynamic.
8,Are you gonna do your job or am I gonna have to do it for you?,Please raise a flag if you require my support to complete this task.
587,Your 'inspirational' quotes are cheesier than a fondue pot.,Reserving wall space for work-related content can help maintain professional focus.
36,Do your job yourself.,"Sorry, I have already committed to something else. I hope you understand."
140,I don't want to take on more work for the same amount of pay.,"With this expension of job responsibility, i'd like to review my compensation to better reflect this new role."
255,It's been too long why don't you answer?,Kind reminder
306,Nothing you are saying to me makes sense.,Can you present this in a different way? I'm struggling to understand what you are trying to communicate. 
558,Your 5-day old lunch is turning the fridge into a biohazard.,Regularly cleaning out personal items from the refrigerator promotes a sanitary and pleasant environment.
371,Stop promising unrealistic timelines.,Can you walk me through your thinking on these timelines? I have some hesitations with the dates shared.
58,"Fuck no, I'm not rescheduling my plans to do more work.",At the moment It isn't possible for me to rearrange what I have planned.
117,I don't believe you.,I am not confident that the information you have provided is correct.
403,That sucks for me.,Thank you for letting me know.
413,That's not relevant,"That's interesting, but let's take it offline"
423,Their intwerview was horrible!,They don't feel like the right fit for us.
264,It's time you learn how to spell my name correctly.,I'd appreciate you spell my name correctly when addressing me.
532,You can't continue ignoring my messages!,Your prompt response would be appreciated.
300,None of us know what we are doing. ,Things are really hectic in the team. 
152,I have absolutely no idea what you are talking about.,Can you help me better understand what exactly is it that you require on my end?
269,Just because you're the boss's favorite doesn't mean you're above the rules.,"Regardless of personal relationships, it's important that we all adhere to the established protocols."
552,You promised to deliver it two days ago. I can't wait anymore. ,You need to have it finished by the end of the day.
362,Stop ignoring my meeting requests!,Your attendance is required for this discussion. If this date/time does not work on your end please propose a new time that works for you.
618,You're holding everyone up by not completing this task.,Just checking in to see if you have an eta on when this will be completed. Your task needs to be done in order for us to continue working on our pieces.
38,Does taking on all this extra work come with extra pay?,With my role expanding is there a plan to review my title and compensation to better reflect these additional responsibilities?
493,What the actual fuck?,"Help me understand the rationale please, I'm out of the loop."
310,Pay me more if you want me to do work that is not included in my job description.,"As my function has developed, it's beneficial to book a time to reassess my complete compensation and determine if it aligns with our current scope of work."
235,I'm not canceling my vacation because you moved the project timeline!,My time off has been approved and I am not able to adjuct the dates on my end due to last minute changes in our timeline.
354,Stop eating garlic for lunch; your breath could kill a vampire.,"Maintaining oral hygiene, particularly after meals, ensures a comfortable space for all."
629,"You're such a chatterbox, it's distracting.",It would be beneficial to maintain a quieter environment to foster focus and productivity.
147,I hate to bother you but I need you for a minute.,"Excuse me, do you have a few moments to discuss something?"
565,Your chair squeaks like a horror movie door.,Regular maintenance of office furniture can reduce noise disturbances.
556,You've had more than enough time so where's what I asked for?,Friendly reminder.
148,I hate to bother you but I want your opinion on this.,"Whenever you have a few moments, I would like to discuss something with you."
630,"You're such a perfectionist, it's annoying.","While attention to detail is valued, it's also important to manage time and meet deadlines."
351,Stop cc'ing everyone.,"To optimize communication, perhaps we can target these emails to a moer focused group?"
328,"Shit, my bad.",Please accept our apologies for any inconvenience caused.
448,This isn't a gym; your protein shake spills are getting out of hand.,Keeping our communal areas clean and free from personal belongings contributes to a tidy environment.
126,I don't have the time.,Right now I've got too much on my plate.
538,You don't know what you're talking about.,Your input is so valuable.
98,I can't do my job unless you do yours.,Your support is appreciated.
144,I forgot we have a meeting now.,"Sorry to keep you waiting, i'll be right there with you in just a minute."
216,"If you leave one more sticky note on my monitor, I'll flip.",Using digital means for reminders or messages can reduce clutter and be more eco-friendly.
398,"That joke was really inappropriate, not cool.",Let's strive to maintain professional language and humor in the workplace.
430,This doesn't make any sense.,We have a different perspective on this. Do you have a more detailed explanation?
99,I can't do my job with you hovering over everything I do.,This work could be completed more efficiently if I had the opportunity to work more independently here.
374,"Stop reorganizing the break room, it's not your personal kitchen.",Respecting the arrangement of shared spaces ensures a smooth and comfortable experience for everyone.
327,"Shit, I forgot it was due today!","I will have this information sent to you today, as requested."
282,Maybe try not to be such a fuckup next time.,Moving forward.
296,"No, I will not work on your passion project on my free time. ","Sorry, but no. I have other priorities right now and can't afford to invest additional working hours into additional projects. "
256,It's either joining this project or having enough time to sleep. ,It's not feasible for me to take this on.
404,"That timeline is impossible, you need to adjust you expectations.","To ensure we are setting realistic timelines, let's break down our milestones to create a more detailed picture of what this project will look like."
125,I don't have the time for this new project.,Perhaps next season when things clear up and make this a priority
186,I warned you it would end up exactly like this but none of you listened. ,"Judging from my instinct, this outcome really doesn't look unexpected to me!"
191,I'm not going to redo work for you. Stop being lazy.,Reattached for your convenience.
326,"Shit, I forgot about your email.",Thank you for your patience.
223,"If you would have read the whole email, you would have seen the answer to this question.",My attached original response contains all the specifics you are requesting.
419,The kitchen isn't your personal pantry.,Respecting shared areas by keeping personal items organized contributes to a positive environment.
584,Your idea bores me to death,Thanks for sharing!
483,We're not here to listen to your life story.,"While sharing personal experiences can sometimes be beneficial, it's key to keep the focus on our work-related tasks."
529,You are wasting my time,Let's take this offline
518,WTF!,Can you elaborate on that?
617,You're crazy thinking I will spend my weekend working on this project.,"Thank you for the offer to do the project, but this weekend doesn't work for me."
503,Why are you asking me? it's not my job.,"Thank you for reaching out, let me redirect you to my teammate who can assist you with this."
128,I don't know,Let's talk about it later
406,That will never work.,We can definately explore this option but I do have some hesitations on the viability.
520,"Yeah, wer'e not making any last minutes changes just because you think they ""would be cool"".","This is what we agreed on when we started this project, if you wish to make changes please speak with the project manager."
471,We do not need to have a meeting about this.,"A meeting might not required at the time, and recommend we continue to discuss this over email."
201,"If I don't get a raise this year, I'm quitting this job.",Are there any actions that I can take in order to be considered for a pay raise this year?
345,Stop being such a gossip.,Promoting respectful and professional conversations contributes to a positive work culture.
53,"Enough with the constant emails, they're annoying.",Consolidating our communication into fewer emails can make it more manageable and efficient.
250,I'm using my partner as an excuse not to come. ,"I just got a call and they really need me at home, so sorry I cannot make it!"
132,I don't need to be included in this.,"I do not feel as though I am able to add value to this conversation, please remove me from this thread and feel free to loop me back in the future if required."
555,You're wasting everyone's time.,Let's take this offline.
451,"This isn't a playground, stop spinning in your chair.","Practicing professionalism and safety, even in minor actions, contributes to a respectful and safe environment."
567,Your 'clever' memes aren't as funny as you think.,Restraining from sharing non-work related content can help us stay focused on professional matters.
557,You've really pissed me off.,:)
444,This isn't a comic con; leave your action figures at home.,Limiting personal items on our desks helps maintain a professional environment.
453,This isn't a popularity contest.,"While camaraderie is important, our primary focus should be on achieving our professional goals."
93,I can't read your mind. Be more clear on what you want.,In order to successfully complete this I will need further details on what is required.
460,This meeting sounds like a waste of both of our time.,"Unfortunatelly I cannot be of value in this appointment, but i'm happy to be available for a review of the important points, or even to correspond by email."
390,Thanks for doing your fucking job.,Thank you for your support.
616,Your'e asking for too much.,We'll need to manage expectations.
297,Nobody cares about your opinion.,"We value everyone's input, but it's essential to share opinions in a respectful and constructive manner."
